2023-05-23 10:23:18,070:INFO:{'method': 'random', 'metric': {'goal': 'minimize', 'name': 'val_loss'}, 'parameters': {'batch_size': {'distribution': 'q_log_uniform_values', 'max': 256, 'min': 16, 'q': 8}, 'criterion': {'value': 'MSELoss()'}, 'epochs': {'values': [20, 40, 60, 80]}, 'hidden_dim_1': {'value': 64}, 'hidden_dim_2': {'value': 128}, 'hidden_dim_3': {'value': 32}, 'in_channels': {'value': 11}, 'lr': {'distribution': 'uniform', 'max': 0.1, 'min': 0}, 'optimizer': {'value': 'adam'}, 'out_channels': {'value': 1}}}
2023-05-23 10:23:18,348:INFO:GCN(
  (conv1): GCNConv(11, 64)
  (conv2): GCNConv(64, 128)
  (global_pool): MaxAggregation()
  (fc1): Linear(in_features=128, out_features=32, bias=True)
  (fc2): Linear(in_features=32, out_features=1, bias=True)
)
2023-05-23 10:24:47,770:INFO:Epoch: 0, Training Loss: 2.7084
2023-05-23 10:24:55,670:INFO:Epoch: 0, Validation Loss: 2.3158
2023-05-23 10:26:02,574:INFO:Epoch: 1, Training Loss: 2.2795
2023-05-23 10:26:06,662:INFO:Epoch: 1, Validation Loss: 2.3241
2023-05-23 10:27:16,990:INFO:Epoch: 2, Training Loss: 2.2816
2023-05-23 10:27:21,549:INFO:Epoch: 2, Validation Loss: 2.2876
2023-05-23 10:28:34,969:INFO:Epoch: 3, Training Loss: 2.2789
2023-05-23 10:28:39,554:INFO:Epoch: 3, Validation Loss: 2.2893
2023-05-23 10:29:57,538:INFO:Epoch: 4, Training Loss: 2.2834
2023-05-23 10:30:02,015:INFO:Epoch: 4, Validation Loss: 2.2915
2023-05-23 10:31:12,023:INFO:Epoch: 5, Training Loss: 2.2814
2023-05-23 10:31:16,663:INFO:Epoch: 5, Validation Loss: 2.2923
2023-05-23 10:32:31,451:INFO:Epoch: 6, Training Loss: 2.2801
2023-05-23 10:32:35,883:INFO:Epoch: 6, Validation Loss: 2.2950
2023-05-23 10:33:47,177:INFO:Epoch: 7, Training Loss: 2.2794
2023-05-23 10:33:51,571:INFO:Epoch: 7, Validation Loss: 2.2895
2023-05-23 10:35:02,657:INFO:Epoch: 8, Training Loss: 2.2817
2023-05-23 10:35:06,874:INFO:Epoch: 8, Validation Loss: 2.2887
2023-05-23 10:36:22,818:INFO:Epoch: 9, Training Loss: 2.2812
2023-05-23 10:36:27,538:INFO:Epoch: 9, Validation Loss: 2.2877
2023-05-23 10:37:45,307:INFO:Epoch: 10, Training Loss: 2.2829
2023-05-23 10:37:49,856:INFO:Epoch: 10, Validation Loss: 2.2956
2023-05-23 10:39:04,021:INFO:Epoch: 11, Training Loss: 2.2811
2023-05-23 10:39:08,827:INFO:Epoch: 11, Validation Loss: 2.2902
2023-05-23 10:40:24,020:INFO:Epoch: 12, Training Loss: 2.2816
2023-05-23 10:40:28,505:INFO:Epoch: 12, Validation Loss: 2.3062
2023-05-23 10:41:42,128:INFO:Epoch: 13, Training Loss: 2.2813
2023-05-23 10:41:46,925:INFO:Epoch: 13, Validation Loss: 2.3754
2023-05-23 10:42:59,937:INFO:Epoch: 14, Training Loss: 2.2807
2023-05-23 10:43:04,529:INFO:Epoch: 14, Validation Loss: 2.3081
2023-05-23 10:44:43,887:INFO:Epoch: 15, Training Loss: 2.2813
2023-05-23 10:44:48,482:INFO:Epoch: 15, Validation Loss: 2.3059
2023-05-23 10:46:11,556:INFO:Epoch: 16, Training Loss: 2.2798
2023-05-23 10:46:15,948:INFO:Epoch: 16, Validation Loss: 2.3383
2023-05-23 10:47:25,715:INFO:Epoch: 17, Training Loss: 2.2802
2023-05-23 10:47:30,084:INFO:Epoch: 17, Validation Loss: 2.2925
2023-05-23 10:48:38,528:INFO:Epoch: 18, Training Loss: 2.2797
2023-05-23 10:48:42,774:INFO:Epoch: 18, Validation Loss: 2.2915
2023-05-23 10:49:56,958:INFO:Epoch: 19, Training Loss: 2.2815
2023-05-23 10:50:01,552:INFO:Epoch: 19, Validation Loss: 2.2983
2023-05-23 10:51:19,873:INFO:Epoch: 20, Training Loss: 2.2802
2023-05-23 10:51:25,097:INFO:Epoch: 20, Validation Loss: 2.3428
2023-05-23 10:52:40,527:INFO:Epoch: 21, Training Loss: 2.2795
2023-05-23 10:52:45,337:INFO:Epoch: 21, Validation Loss: 2.2939
2023-05-23 10:54:06,385:INFO:Epoch: 22, Training Loss: 2.2797
2023-05-23 10:54:10,772:INFO:Epoch: 22, Validation Loss: 2.3543
2023-05-23 10:55:31,811:INFO:Epoch: 23, Training Loss: 2.2809
2023-05-23 10:55:37,282:INFO:Epoch: 23, Validation Loss: 2.3017
2023-05-23 10:56:53,856:INFO:Epoch: 24, Training Loss: 2.2815
2023-05-23 10:56:58,421:INFO:Epoch: 24, Validation Loss: 2.3002
2023-05-23 10:58:13,687:INFO:Epoch: 25, Training Loss: 2.2807
2023-05-23 10:58:17,986:INFO:Epoch: 25, Validation Loss: 2.2930
2023-05-23 10:59:31,682:INFO:Epoch: 26, Training Loss: 2.2806
2023-05-23 10:59:36,140:INFO:Epoch: 26, Validation Loss: 2.2891
2023-05-23 11:00:49,246:INFO:Epoch: 27, Training Loss: 2.2818
2023-05-23 11:00:53,629:INFO:Epoch: 27, Validation Loss: 2.2936
