2023-05-19 10:45:37,751:INFO:{'in_channels': 11, 'out_channels': 1, 'hidden_dim_1': 64, 'hidden_dim_2': 128, 'hidden_dim_3': 32, 'lr': 0.001, 'batch_size': 50, 'num_epochs': 100, 'criterion': MSELoss()}
2023-05-19 10:46:39,374:INFO:{'in_channels': 11, 'out_channels': 1, 'hidden_dim_1': 64, 'hidden_dim_2': 128, 'hidden_dim_3': 32, 'lr': 0.001, 'batch_size': 128, 'num_epochs': 100, 'criterion': MSELoss()}
2023-05-19 10:47:26,445:INFO:GNNModel(
  (gnn): GNN()
  (global_pool): MaxAggregation()
  (fc1): Linear(in_features=64, out_features=32, bias=True)
  (fc2): Linear(in_features=32, out_features=1, bias=True)
)
2023-05-19 10:47:45,832:INFO:Test Loss before training: 12.2103
2023-05-19 10:48:20,908:INFO:Epoch: 0, Training Loss: 1.7040
2023-05-19 10:48:24,218:INFO:Epoch: 0, Validation Loss: 1.3203
2023-05-19 10:48:47,061:INFO:Epoch: 1, Training Loss: 1.2605
2023-05-19 10:48:49,037:INFO:Epoch: 1, Validation Loss: 1.2706
2023-05-19 10:49:13,927:INFO:Epoch: 2, Training Loss: 1.2281
2023-05-19 10:49:16,850:INFO:Epoch: 2, Validation Loss: 1.2351
2023-05-19 10:49:46,275:INFO:Epoch: 3, Training Loss: 1.2170
2023-05-19 10:49:47,958:INFO:Epoch: 3, Validation Loss: 1.2218
2023-05-19 10:50:10,024:INFO:Epoch: 4, Training Loss: 1.2111
2023-05-19 10:50:11,684:INFO:Epoch: 4, Validation Loss: 1.2230
2023-05-19 10:50:33,592:INFO:Epoch: 5, Training Loss: 1.1998
2023-05-19 10:50:35,248:INFO:Epoch: 5, Validation Loss: 1.2167
2023-05-19 10:51:00,607:INFO:Epoch: 6, Training Loss: 1.1895
2023-05-19 10:51:02,547:INFO:Epoch: 6, Validation Loss: 1.2433
2023-05-19 10:51:30,068:INFO:Epoch: 7, Training Loss: 1.1803
2023-05-19 10:51:32,040:INFO:Epoch: 7, Validation Loss: 1.2080
2023-05-19 10:51:57,691:INFO:Epoch: 8, Training Loss: 1.1726
2023-05-19 10:51:59,444:INFO:Epoch: 8, Validation Loss: 1.1798
2023-05-19 10:52:23,306:INFO:Epoch: 9, Training Loss: 1.1637
2023-05-19 10:52:25,092:INFO:Epoch: 9, Validation Loss: 1.1756
2023-05-19 10:52:51,577:INFO:Epoch: 10, Training Loss: 1.1605
2023-05-19 10:52:53,486:INFO:Epoch: 10, Validation Loss: 1.1761
2023-05-19 10:53:18,635:INFO:Epoch: 11, Training Loss: 1.1570
2023-05-19 10:53:20,545:INFO:Epoch: 11, Validation Loss: 1.1639
2023-05-19 10:53:48,877:INFO:Epoch: 12, Training Loss: 1.1517
2023-05-19 10:53:50,762:INFO:Epoch: 12, Validation Loss: 1.1561
2023-05-19 10:54:16,696:INFO:Epoch: 13, Training Loss: 1.1483
2023-05-19 10:54:18,611:INFO:Epoch: 13, Validation Loss: 1.1680
2023-05-19 10:54:43,015:INFO:Epoch: 14, Training Loss: 1.1425
2023-05-19 10:54:44,954:INFO:Epoch: 14, Validation Loss: 1.1563
2023-05-19 10:55:11,171:INFO:Epoch: 15, Training Loss: 1.1398
2023-05-19 10:55:13,177:INFO:Epoch: 15, Validation Loss: 1.1602
2023-05-19 10:55:36,993:INFO:Epoch: 16, Training Loss: 1.1343
2023-05-19 10:55:38,824:INFO:Epoch: 16, Validation Loss: 1.1411
2023-05-19 10:56:03,149:INFO:Epoch: 17, Training Loss: 1.1294
2023-05-19 10:56:05,101:INFO:Epoch: 17, Validation Loss: 1.1254
2023-05-19 10:56:31,023:INFO:Epoch: 18, Training Loss: 1.1232
2023-05-19 10:56:33,194:INFO:Epoch: 18, Validation Loss: 1.1341
2023-05-19 10:57:03,518:INFO:Epoch: 19, Training Loss: 1.1128
2023-05-19 10:57:05,826:INFO:Epoch: 19, Validation Loss: 1.1003
2023-05-19 10:57:33,071:INFO:Epoch: 20, Training Loss: 1.1056
2023-05-19 10:57:34,854:INFO:Epoch: 20, Validation Loss: 1.0962
2023-05-19 10:58:01,843:INFO:Epoch: 21, Training Loss: 1.0982
2023-05-19 10:58:04,026:INFO:Epoch: 21, Validation Loss: 1.1127
2023-05-19 10:58:25,994:INFO:Epoch: 22, Training Loss: 1.0942
2023-05-19 10:58:27,725:INFO:Epoch: 22, Validation Loss: 1.1183
2023-05-19 10:58:51,754:INFO:Epoch: 23, Training Loss: 1.0851
2023-05-19 10:58:53,529:INFO:Epoch: 23, Validation Loss: 1.0752
2023-05-19 10:59:18,228:INFO:Epoch: 24, Training Loss: 1.0821
2023-05-19 10:59:19,982:INFO:Epoch: 24, Validation Loss: 1.0959
2023-05-19 10:59:42,632:INFO:Epoch: 25, Training Loss: 1.0774
2023-05-19 10:59:44,368:INFO:Epoch: 25, Validation Loss: 1.0860
2023-05-19 11:00:06,572:INFO:Epoch: 26, Training Loss: 1.0734
2023-05-19 11:00:08,255:INFO:Epoch: 26, Validation Loss: 1.0924
2023-05-19 11:00:30,136:INFO:Epoch: 27, Training Loss: 1.0714
2023-05-19 11:00:31,918:INFO:Epoch: 27, Validation Loss: 1.0579
2023-05-19 11:00:53,817:INFO:Epoch: 28, Training Loss: 1.0663
