2023-05-24 17:59:56,324:INFO:{'in_channels': 11, 'out_channels': 1, 'hidden_dim_1': 64, 'hidden_dim_2': 128, 'hidden_dim_3': 32, 'lr': 0.001, 'batch_size': 128, 'num_epochs': 150, 'num_heads': 3, 'dropout': 0.1, 'criterion': 'nn.MSELoss()'}
2023-05-24 17:59:56,639:INFO:GCN(
  (conv1): GATConv(11, 64, heads=3)
  (conv2): GATConv(192, 128, heads=1)
  (global_pool): MaxAggregation()
  (fc1): Linear(in_features=128, out_features=32, bias=True)
  (fc2): Linear(in_features=32, out_features=1, bias=True)
)
2023-05-24 18:01:53,308:INFO:Epoch: 0, Training Loss: 1.5165
2023-05-24 18:02:00,425:INFO:Epoch: 0, Validation Loss: 1.3165
2023-05-24 18:03:09,115:INFO:Epoch: 1, Training Loss: 1.2558
2023-05-24 18:03:13,088:INFO:Epoch: 1, Validation Loss: 1.7965
2023-05-24 18:04:20,876:INFO:Epoch: 2, Training Loss: 1.1800
2023-05-24 18:04:24,734:INFO:Epoch: 2, Validation Loss: 1.2693
2023-05-24 18:05:32,396:INFO:Epoch: 3, Training Loss: 1.1247
2023-05-24 18:05:36,264:INFO:Epoch: 3, Validation Loss: 1.2046
2023-05-24 18:06:43,755:INFO:Epoch: 4, Training Loss: 1.0863
2023-05-24 18:06:47,767:INFO:Epoch: 4, Validation Loss: 1.1603
2023-05-24 18:07:55,450:INFO:Epoch: 5, Training Loss: 1.0681
2023-05-24 18:07:59,384:INFO:Epoch: 5, Validation Loss: 1.1004
2023-05-24 18:09:06,193:INFO:Epoch: 6, Training Loss: 1.0536
2023-05-24 18:09:09,968:INFO:Epoch: 6, Validation Loss: 1.0442
2023-05-24 18:10:16,200:INFO:Epoch: 7, Training Loss: 1.0265
2023-05-24 18:10:20,380:INFO:Epoch: 7, Validation Loss: 1.1071
2023-05-24 18:11:29,467:INFO:Epoch: 8, Training Loss: 1.0159
2023-05-24 18:11:33,400:INFO:Epoch: 8, Validation Loss: 1.0979
2023-05-24 18:12:42,120:INFO:Epoch: 9, Training Loss: 0.9994
2023-05-24 18:12:46,128:INFO:Epoch: 9, Validation Loss: 1.2951
2023-05-24 18:13:55,906:INFO:Epoch: 10, Training Loss: 0.9878
2023-05-24 18:13:59,745:INFO:Epoch: 10, Validation Loss: 1.1787
2023-05-24 18:15:08,269:INFO:Epoch: 11, Training Loss: 0.9777
2023-05-24 18:15:12,181:INFO:Epoch: 11, Validation Loss: 1.0817
2023-05-24 18:16:24,406:INFO:Epoch: 12, Training Loss: 0.9669
2023-05-24 18:16:28,461:INFO:Epoch: 12, Validation Loss: 1.1901
2023-05-24 18:17:36,836:INFO:Epoch: 13, Training Loss: 0.9664
2023-05-24 18:17:40,549:INFO:Epoch: 13, Validation Loss: 1.0804
2023-05-24 18:18:47,140:INFO:Epoch: 14, Training Loss: 0.9492
2023-05-24 18:18:50,806:INFO:Epoch: 14, Validation Loss: 1.0033
2023-05-24 18:19:58,388:INFO:Epoch: 15, Training Loss: 0.9422
2023-05-24 18:20:02,227:INFO:Epoch: 15, Validation Loss: 1.0461
2023-05-24 18:21:09,509:INFO:Epoch: 16, Training Loss: 0.9447
2023-05-24 18:21:13,520:INFO:Epoch: 16, Validation Loss: 1.0549
2023-05-24 18:22:20,672:INFO:Epoch: 17, Training Loss: 0.9306
2023-05-24 18:22:24,581:INFO:Epoch: 17, Validation Loss: 1.0523
2023-05-24 18:23:31,352:INFO:Epoch: 18, Training Loss: 0.9376
2023-05-24 18:23:35,215:INFO:Epoch: 18, Validation Loss: 0.9543
2023-05-24 18:24:42,113:INFO:Epoch: 19, Training Loss: 0.9231
2023-05-24 18:24:46,046:INFO:Epoch: 19, Validation Loss: 1.0209
2023-05-24 18:25:53,607:INFO:Epoch: 20, Training Loss: 0.9124
2023-05-24 18:25:57,379:INFO:Epoch: 20, Validation Loss: 1.1102
2023-05-24 18:27:10,604:INFO:Epoch: 21, Training Loss: 0.9177
2023-05-24 18:27:14,843:INFO:Epoch: 21, Validation Loss: 1.0880
2023-05-24 18:28:26,424:INFO:Epoch: 22, Training Loss: 0.9110
2023-05-24 18:28:30,928:INFO:Epoch: 22, Validation Loss: 0.9732
2023-05-24 18:29:43,253:INFO:Epoch: 23, Training Loss: 0.9068
2023-05-24 18:29:47,521:INFO:Epoch: 23, Validation Loss: 0.9624
2023-05-24 18:31:00,107:INFO:Epoch: 24, Training Loss: 0.9001
2023-05-24 18:31:04,213:INFO:Epoch: 24, Validation Loss: 1.0565
2023-05-24 18:32:14,092:INFO:Epoch: 25, Training Loss: 0.8937
2023-05-24 18:32:18,024:INFO:Epoch: 25, Validation Loss: 1.0307
2023-05-24 18:33:27,520:INFO:Epoch: 26, Training Loss: 0.8916
2023-05-24 18:33:31,793:INFO:Epoch: 26, Validation Loss: 1.0543
2023-05-24 18:34:39,162:INFO:Epoch: 27, Training Loss: 0.8851
2023-05-24 18:34:43,626:INFO:Epoch: 27, Validation Loss: 0.9783
2023-05-24 18:35:51,942:INFO:Epoch: 28, Training Loss: 0.8850
2023-05-24 18:35:56,550:INFO:Epoch: 28, Validation Loss: 1.0237
2023-05-24 18:37:08,465:INFO:Epoch: 29, Training Loss: 0.8836
2023-05-24 18:37:12,811:INFO:Epoch: 29, Validation Loss: 0.9463
2023-05-24 18:38:31,316:INFO:Epoch: 30, Training Loss: 0.8817
2023-05-24 18:38:35,837:INFO:Epoch: 30, Validation Loss: 1.0924
2023-05-24 18:39:46,937:INFO:Epoch: 31, Training Loss: 0.8699
2023-05-24 18:39:50,699:INFO:Epoch: 31, Validation Loss: 0.9486
2023-05-24 18:40:59,013:INFO:Epoch: 32, Training Loss: 0.8688
2023-05-24 18:41:03,000:INFO:Epoch: 32, Validation Loss: 1.0033
2023-05-24 18:42:13,257:INFO:Epoch: 33, Training Loss: 0.8716
2023-05-24 18:42:17,555:INFO:Epoch: 33, Validation Loss: 1.0803
2023-05-24 18:43:28,294:INFO:Epoch: 34, Training Loss: 0.8699
2023-05-24 18:43:32,813:INFO:Epoch: 34, Validation Loss: 1.0570
2023-05-24 18:44:59,705:INFO:Epoch: 35, Training Loss: 0.8663
2023-05-24 18:45:04,269:INFO:Epoch: 35, Validation Loss: 1.0493
2023-05-24 18:46:17,422:INFO:Epoch: 36, Training Loss: 0.8612
2023-05-24 18:46:21,344:INFO:Epoch: 36, Validation Loss: 0.9501
2023-05-24 18:47:29,249:INFO:Epoch: 37, Training Loss: 0.8598
2023-05-24 18:47:33,089:INFO:Epoch: 37, Validation Loss: 0.8646
2023-05-24 18:48:40,230:INFO:Epoch: 38, Training Loss: 0.8610
2023-05-24 18:48:44,023:INFO:Epoch: 38, Validation Loss: 0.9828
2023-05-24 18:49:52,105:INFO:Epoch: 39, Training Loss: 0.8574
2023-05-24 18:49:55,991:INFO:Epoch: 39, Validation Loss: 1.1274
2023-05-24 18:51:02,563:INFO:Epoch: 40, Training Loss: 0.8557
2023-05-24 18:51:06,380:INFO:Epoch: 40, Validation Loss: 0.9662
2023-05-24 18:52:12,525:INFO:Epoch: 41, Training Loss: 0.8574
2023-05-24 18:52:16,263:INFO:Epoch: 41, Validation Loss: 0.8956
2023-05-24 18:53:25,130:INFO:Epoch: 42, Training Loss: 0.8461
2023-05-24 18:53:28,908:INFO:Epoch: 42, Validation Loss: 1.0286
2023-05-24 18:54:35,256:INFO:Epoch: 43, Training Loss: 0.8487
2023-05-24 18:54:39,051:INFO:Epoch: 43, Validation Loss: 0.9419
2023-05-24 18:55:48,183:INFO:Epoch: 44, Training Loss: 0.8457
2023-05-24 18:55:52,171:INFO:Epoch: 44, Validation Loss: 1.0105
2023-05-24 18:57:02,751:INFO:Epoch: 45, Training Loss: 0.8423
2023-05-24 18:57:06,816:INFO:Epoch: 45, Validation Loss: 0.9782
2023-05-24 18:58:15,953:INFO:Epoch: 46, Training Loss: 0.8449
2023-05-24 18:58:19,968:INFO:Epoch: 46, Validation Loss: 1.0547
2023-05-24 18:59:28,052:INFO:Epoch: 47, Training Loss: 0.8415
