2023-05-17 23:32:11,360:INFO:root:{'in_channels': 11, 'out_channels': 1, 'hidden_dim_1': 64, 'hidden_dim_2': 128, 'hidden_dim_3': 32, 'lr': 0.001, 'batch_size': 20, 'num_epochs': 100, 'processing_steps': 10, 'criterion': MSELoss(), 'criterion2': CrossEntropyLoss(), 'nnconv_aggr': 'max'}
2023-05-17 23:33:01,010:INFO:root:GNNModel(
  (conv1): NNConv(11, 64, aggr=max, nn=Sequential(
    (0): Linear(in_features=5, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=704, bias=True)
  ))
  (global_pool): MeanAggregation()
  (fc1): Linear(in_features=64, out_features=32, bias=True)
  (fc2): Linear(in_features=32, out_features=1, bias=True)
)
2023-05-17 23:33:56,703:INFO:root:Test Loss before training: 11.2977
2023-05-17 23:35:18,913:INFO:root:Epoch: 0, Training Loss: 1.3938
2023-05-17 23:35:23,201:INFO:root:Epoch: 0, Validation Loss: 1.3172
2023-05-17 23:36:45,795:INFO:root:Epoch: 1, Training Loss: 1.2360
2023-05-17 23:36:49,863:INFO:root:Epoch: 1, Validation Loss: 1.2580
2023-05-17 23:38:18,317:INFO:root:Epoch: 2, Training Loss: 1.1926
2023-05-17 23:38:22,518:INFO:root:Epoch: 2, Validation Loss: 1.2287
2023-05-17 23:39:53,309:INFO:root:Epoch: 3, Training Loss: 1.1466
2023-05-17 23:39:57,756:INFO:root:Epoch: 3, Validation Loss: 1.1770
2023-05-17 23:41:28,320:INFO:root:Epoch: 4, Training Loss: 1.0920
2023-05-17 23:41:32,868:INFO:root:Epoch: 4, Validation Loss: 1.0850
2023-05-17 23:43:02,402:INFO:root:Epoch: 5, Training Loss: 1.0514
2023-05-17 23:43:06,646:INFO:root:Epoch: 5, Validation Loss: 1.0550
2023-05-17 23:44:58,430:INFO:root:Epoch: 6, Training Loss: 1.0271
2023-05-17 23:45:06,830:INFO:root:Epoch: 6, Validation Loss: 1.0022
2023-05-17 23:46:57,577:INFO:root:Epoch: 7, Training Loss: 1.0053
2023-05-17 23:47:02,270:INFO:root:Epoch: 7, Validation Loss: 1.0127
2023-05-17 23:48:36,386:INFO:root:Epoch: 8, Training Loss: 0.9815
2023-05-17 23:48:40,769:INFO:root:Epoch: 8, Validation Loss: 1.0265
2023-05-17 23:50:10,760:INFO:root:Epoch: 9, Training Loss: 0.9687
2023-05-17 23:50:15,403:INFO:root:Epoch: 9, Validation Loss: 0.9603
2023-05-17 23:51:47,507:INFO:root:Epoch: 10, Training Loss: 0.9616
2023-05-17 23:51:51,785:INFO:root:Epoch: 10, Validation Loss: 0.9471
2023-05-17 23:53:22,325:INFO:root:Epoch: 11, Training Loss: 0.9525
2023-05-17 23:53:26,895:INFO:root:Epoch: 11, Validation Loss: 0.9999
2023-05-17 23:54:59,454:INFO:root:Epoch: 12, Training Loss: 0.9475
2023-05-17 23:55:03,680:INFO:root:Epoch: 12, Validation Loss: 0.9563
2023-05-17 23:56:36,906:INFO:root:Epoch: 13, Training Loss: 0.9409
2023-05-17 23:56:41,387:INFO:root:Epoch: 13, Validation Loss: 0.9772
2023-05-17 23:58:15,218:INFO:root:Epoch: 14, Training Loss: 0.9367
2023-05-17 23:58:19,661:INFO:root:Epoch: 14, Validation Loss: 0.9616
2023-05-17 23:59:59,556:INFO:root:Epoch: 15, Training Loss: 0.9306
2023-05-18 00:00:05,566:INFO:root:Epoch: 15, Validation Loss: 0.9289
2023-05-18 00:01:45,400:INFO:root:Epoch: 16, Training Loss: 0.9262
2023-05-18 00:01:49,838:INFO:root:Epoch: 16, Validation Loss: 0.9332
2023-05-18 00:03:27,530:INFO:root:Epoch: 17, Training Loss: 0.9236
2023-05-18 00:03:31,831:INFO:root:Epoch: 17, Validation Loss: 0.9750
2023-05-18 00:05:06,205:INFO:root:Epoch: 18, Training Loss: 0.9155
2023-05-18 00:05:10,459:INFO:root:Epoch: 18, Validation Loss: 0.9153
2023-05-18 00:06:45,883:INFO:root:Epoch: 19, Training Loss: 0.9146
2023-05-18 00:06:50,129:INFO:root:Epoch: 19, Validation Loss: 0.9193
2023-05-18 00:08:26,432:INFO:root:Epoch: 20, Training Loss: 0.9110
2023-05-18 00:08:32,080:INFO:root:Epoch: 20, Validation Loss: 0.9152
2023-05-18 00:10:14,135:INFO:root:Epoch: 21, Training Loss: 0.9082
2023-05-18 00:10:18,568:INFO:root:Epoch: 21, Validation Loss: 0.8914
2023-05-18 00:11:54,097:INFO:root:Epoch: 22, Training Loss: 0.9014
2023-05-18 00:11:58,496:INFO:root:Epoch: 22, Validation Loss: 0.9124
2023-05-18 00:13:35,501:INFO:root:Epoch: 23, Training Loss: 0.9022
2023-05-18 00:13:40,194:INFO:root:Epoch: 23, Validation Loss: 0.9376
2023-05-18 00:15:21,212:INFO:root:Epoch: 24, Training Loss: 0.8964
2023-05-18 00:15:25,921:INFO:root:Epoch: 24, Validation Loss: 0.9638
2023-05-18 00:17:02,879:INFO:root:Epoch: 25, Training Loss: 0.8912
2023-05-18 00:17:07,428:INFO:root:Epoch: 25, Validation Loss: 0.9104
2023-05-18 00:18:42,054:INFO:root:Epoch: 26, Training Loss: 0.8878
2023-05-18 00:18:47,126:INFO:root:Epoch: 26, Validation Loss: 0.8907
2023-05-18 00:20:21,979:INFO:root:Epoch: 27, Training Loss: 0.8845
2023-05-18 00:20:26,288:INFO:root:Epoch: 27, Validation Loss: 0.8948
2023-05-18 00:22:01,109:INFO:root:Epoch: 28, Training Loss: 0.8840
