2023-05-18 10:18:24,039:INFO:root:{'in_channels': 11, 'out_channels': 1, 'hidden_dim_1': 64, 'hidden_dim_2': 128, 'hidden_dim_3': 32, 'lr': 0.001, 'batch_size': 20, 'num_epochs': 100, 'processing_steps': 10, 'criterion': MSELoss(), 'nnconv_aggr': 'mean'}
2023-05-18 10:18:57,148:INFO:root:GNNModel(
  (conv1): NNConv(11, 64, aggr=mean, nn=Sequential(
    (0): Linear(in_features=5, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=704, bias=True)
  ))
  (global_pool): MaxAggregation()
  (fc1): Linear(in_features=64, out_features=32, bias=True)
  (fc2): Linear(in_features=32, out_features=1, bias=True)
)
2023-05-18 10:19:23,415:INFO:root:Test Loss before training: 8.4049
2023-05-18 10:21:27,403:INFO:root:Epoch: 0, Training Loss: 1.2380
2023-05-18 10:21:35,244:INFO:root:Epoch: 0, Validation Loss: 1.1916
2023-05-18 10:23:12,693:INFO:root:Epoch: 1, Training Loss: 1.1136
2023-05-18 10:23:17,003:INFO:root:Epoch: 1, Validation Loss: 1.0425
2023-05-18 10:24:42,935:INFO:root:Epoch: 2, Training Loss: 0.9909
2023-05-18 10:24:47,476:INFO:root:Epoch: 2, Validation Loss: 0.9971
2023-05-18 10:26:13,432:INFO:root:Epoch: 3, Training Loss: 0.9532
2023-05-18 10:26:17,732:INFO:root:Epoch: 3, Validation Loss: 0.9106
2023-05-18 10:27:51,439:INFO:root:Epoch: 4, Training Loss: 0.9259
2023-05-18 10:27:56,309:INFO:root:Epoch: 4, Validation Loss: 0.9253
2023-05-18 10:29:31,491:INFO:root:Epoch: 5, Training Loss: 0.9058
2023-05-18 10:29:36,423:INFO:root:Epoch: 5, Validation Loss: 0.8836
2023-05-18 10:31:10,904:INFO:root:Epoch: 6, Training Loss: 0.8856
2023-05-18 10:31:15,691:INFO:root:Epoch: 6, Validation Loss: 0.9133
2023-05-18 10:32:58,510:INFO:root:Epoch: 7, Training Loss: 0.8730
2023-05-18 10:33:03,630:INFO:root:Epoch: 7, Validation Loss: 0.8624
2023-05-18 10:34:49,012:INFO:root:Epoch: 8, Training Loss: 0.8628
2023-05-18 10:34:54,044:INFO:root:Epoch: 8, Validation Loss: 0.8714
2023-05-18 10:36:42,588:INFO:root:Epoch: 9, Training Loss: 0.8587
2023-05-18 10:36:48,272:INFO:root:Epoch: 9, Validation Loss: 0.8413
2023-05-18 10:38:28,775:INFO:root:Epoch: 10, Training Loss: 0.8437
2023-05-18 10:38:33,669:INFO:root:Epoch: 10, Validation Loss: 0.8166
2023-05-18 10:40:11,181:INFO:root:Epoch: 11, Training Loss: 0.8372
2023-05-18 10:40:15,774:INFO:root:Epoch: 11, Validation Loss: 0.8243
2023-05-18 10:42:02,411:INFO:root:Epoch: 12, Training Loss: 0.8340
2023-05-18 10:42:06,979:INFO:root:Epoch: 12, Validation Loss: 0.8111
2023-05-18 10:43:48,518:INFO:root:Epoch: 13, Training Loss: 0.8288
2023-05-18 10:43:54,275:INFO:root:Epoch: 13, Validation Loss: 0.8203
2023-05-18 10:45:47,419:INFO:root:Epoch: 14, Training Loss: 0.8232
2023-05-18 10:45:52,460:INFO:root:Epoch: 14, Validation Loss: 0.8579
2023-05-18 10:47:55,148:INFO:root:Epoch: 15, Training Loss: 0.8139
2023-05-18 10:48:00,972:INFO:root:Epoch: 15, Validation Loss: 0.8376
2023-05-18 10:50:13,002:INFO:root:Epoch: 16, Training Loss: 0.8085
2023-05-18 10:50:21,744:INFO:root:Epoch: 16, Validation Loss: 0.8038
2023-05-18 10:52:40,924:INFO:root:Epoch: 17, Training Loss: 0.8015
2023-05-18 10:52:46,001:INFO:root:Epoch: 17, Validation Loss: 0.7685
2023-05-18 10:54:27,211:INFO:root:Epoch: 18, Training Loss: 0.7984
2023-05-18 10:54:32,597:INFO:root:Epoch: 18, Validation Loss: 0.7987
2023-05-18 10:56:15,339:INFO:root:Epoch: 19, Training Loss: 0.7915
2023-05-18 10:56:20,176:INFO:root:Epoch: 19, Validation Loss: 0.7970
2023-05-18 10:57:58,072:INFO:root:Epoch: 20, Training Loss: 0.7915
2023-05-18 10:58:02,874:INFO:root:Epoch: 20, Validation Loss: 0.7737
2023-05-18 10:59:40,737:INFO:root:Epoch: 21, Training Loss: 0.7885
2023-05-18 10:59:45,533:INFO:root:Epoch: 21, Validation Loss: 0.7906
2023-05-18 11:01:30,429:INFO:root:Epoch: 22, Training Loss: 0.7828
2023-05-18 11:01:35,524:INFO:root:Epoch: 22, Validation Loss: 0.7875
2023-05-18 11:03:15,559:INFO:root:Epoch: 23, Training Loss: 0.7795
2023-05-18 11:03:20,526:INFO:root:Epoch: 23, Validation Loss: 0.7752
2023-05-18 11:05:14,032:INFO:root:Epoch: 24, Training Loss: 0.7780
2023-05-18 11:05:18,816:INFO:root:Epoch: 24, Validation Loss: 0.7653
2023-05-18 11:06:55,428:INFO:root:Epoch: 25, Training Loss: 0.7741
2023-05-18 11:06:59,829:INFO:root:Epoch: 25, Validation Loss: 0.8055
2023-05-18 11:08:36,745:INFO:root:Epoch: 26, Training Loss: 0.7700
2023-05-18 11:08:41,512:INFO:root:Epoch: 26, Validation Loss: 0.7534
2023-05-18 11:10:16,508:INFO:root:Epoch: 27, Training Loss: 0.7717
2023-05-18 11:10:21,109:INFO:root:Epoch: 27, Validation Loss: 0.8222
2023-05-18 11:11:55,326:INFO:root:Epoch: 28, Training Loss: 0.7630
2023-05-18 11:11:59,787:INFO:root:Epoch: 28, Validation Loss: 0.7590
