2023-05-17 20:48:36,110:INFO:root:{'in_channels': 11, 'out_channels': 1, 'hidden_dim_1': 64, 'hidden_dim_2': 128, 'hidden_dim_3': 32, 'lr': 0.001, 'batch_size': 20, 'num_epochs': 100, 'processing_steps': 10, 'criterion2': MSELoss(), 'criterion': CrossEntropyLoss(), 'nnconv_aggr': 'mean'}
2023-05-17 20:50:06,231:INFO:root:GNNModel(
  (conv1): NNConv(11, 64, aggr=mean, nn=Sequential(
    (0): Linear(in_features=5, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=704, bias=True)
  ))
  (global_pool): MeanAggregation()
  (fc1): Linear(in_features=64, out_features=32, bias=True)
  (fc2): Linear(in_features=32, out_features=1, bias=True)
)
2023-05-17 20:50:39,485:INFO:root:Test Loss before training: 8.4486
2023-05-17 20:52:20,145:INFO:root:Epoch: 0, Training Loss: 1.8385
2023-05-17 20:52:27,366:INFO:root:Epoch: 0, Validation Loss: 1.6787
2023-05-17 20:53:43,072:INFO:root:Epoch: 1, Training Loss: 1.6069
2023-05-17 20:53:47,588:INFO:root:Epoch: 1, Validation Loss: 1.5594
2023-05-17 20:54:58,675:INFO:root:Epoch: 2, Training Loss: 1.5075
2023-05-17 20:55:03,517:INFO:root:Epoch: 2, Validation Loss: 1.4619
2023-05-17 20:56:15,102:INFO:root:Epoch: 3, Training Loss: 1.4489
2023-05-17 20:56:19,855:INFO:root:Epoch: 3, Validation Loss: 1.4384
2023-05-17 20:57:34,978:INFO:root:Epoch: 4, Training Loss: 1.4043
2023-05-17 20:57:39,627:INFO:root:Epoch: 4, Validation Loss: 1.4309
2023-05-17 20:58:56,977:INFO:root:Epoch: 5, Training Loss: 1.3741
2023-05-17 20:59:01,474:INFO:root:Epoch: 5, Validation Loss: 1.3737
2023-05-17 21:00:14,899:INFO:root:Epoch: 6, Training Loss: 1.3518
2023-05-17 21:00:19,083:INFO:root:Epoch: 6, Validation Loss: 1.3503
2023-05-17 21:01:30,699:INFO:root:Epoch: 7, Training Loss: 1.3325
2023-05-17 21:01:35,179:INFO:root:Epoch: 7, Validation Loss: 1.3815
2023-05-17 21:02:47,293:INFO:root:Epoch: 8, Training Loss: 1.3179
2023-05-17 21:02:52,638:INFO:root:Epoch: 8, Validation Loss: 1.3228
2023-05-17 21:04:11,963:INFO:root:Epoch: 9, Training Loss: 1.3047
2023-05-17 21:04:17,937:INFO:root:Epoch: 9, Validation Loss: 1.3201
2023-05-17 21:05:31,624:INFO:root:Epoch: 10, Training Loss: 1.2927
2023-05-17 21:05:36,061:INFO:root:Epoch: 10, Validation Loss: 1.2762
2023-05-17 21:06:47,409:INFO:root:Epoch: 11, Training Loss: 1.2811
2023-05-17 21:06:51,824:INFO:root:Epoch: 11, Validation Loss: 1.3242
2023-05-17 21:08:01,780:INFO:root:Epoch: 12, Training Loss: 1.2717
2023-05-17 21:08:06,323:INFO:root:Epoch: 12, Validation Loss: 1.2764
2023-05-17 21:09:19,659:INFO:root:Epoch: 13, Training Loss: 1.2626
2023-05-17 21:09:24,343:INFO:root:Epoch: 13, Validation Loss: 1.2478
2023-05-17 21:10:37,737:INFO:root:Epoch: 14, Training Loss: 1.2561
2023-05-17 21:10:42,093:INFO:root:Epoch: 14, Validation Loss: 1.2462
2023-05-17 21:11:54,624:INFO:root:Epoch: 15, Training Loss: 1.2480
2023-05-17 21:11:59,227:INFO:root:Epoch: 15, Validation Loss: 1.2911
2023-05-17 21:13:12,782:INFO:root:Epoch: 16, Training Loss: 1.2421
2023-05-17 21:13:18,403:INFO:root:Epoch: 16, Validation Loss: 1.2587
2023-05-17 21:14:31,765:INFO:root:Epoch: 17, Training Loss: 1.2354
2023-05-17 21:14:36,005:INFO:root:Epoch: 17, Validation Loss: 1.2553
2023-05-17 21:15:46,402:INFO:root:Epoch: 18, Training Loss: 1.2277
2023-05-17 21:15:50,778:INFO:root:Epoch: 18, Validation Loss: 1.2493
2023-05-17 21:17:01,323:INFO:root:Epoch: 19, Training Loss: 1.2209
2023-05-17 21:17:05,676:INFO:root:Epoch: 19, Validation Loss: 1.2026
2023-05-17 21:18:17,718:INFO:root:Epoch: 20, Training Loss: 1.2156
2023-05-17 21:18:22,921:INFO:root:Epoch: 20, Validation Loss: 1.2076
2023-05-17 21:19:34,411:INFO:root:Epoch: 21, Training Loss: 1.2106
2023-05-17 21:19:38,688:INFO:root:Epoch: 21, Validation Loss: 1.2142
2023-05-17 21:20:49,597:INFO:root:Epoch: 22, Training Loss: 1.2033
2023-05-17 21:20:53,786:INFO:root:Epoch: 22, Validation Loss: 1.1932
2023-05-17 21:22:03,898:INFO:root:Epoch: 23, Training Loss: 1.1991
2023-05-17 21:22:08,639:INFO:root:Epoch: 23, Validation Loss: 1.2087
2023-05-17 21:23:21,152:INFO:root:Epoch: 24, Training Loss: 1.1931
2023-05-17 21:23:25,828:INFO:root:Epoch: 24, Validation Loss: 1.2133
2023-05-17 21:24:39,120:INFO:root:Epoch: 25, Training Loss: 1.1865
2023-05-17 21:24:43,743:INFO:root:Epoch: 25, Validation Loss: 1.1853
2023-05-17 21:25:57,393:INFO:root:Epoch: 26, Training Loss: 1.1825
2023-05-17 21:26:01,882:INFO:root:Epoch: 26, Validation Loss: 1.1666
2023-05-17 21:27:16,041:INFO:root:Epoch: 27, Training Loss: 1.1780
2023-05-17 21:27:20,675:INFO:root:Epoch: 27, Validation Loss: 1.1699
2023-05-17 21:28:35,285:INFO:root:Epoch: 28, Training Loss: 1.1727
